Place,Date,Time,Value,Unit,Value,Unit,Value,Unit,Value,Unit
195,10/4/2021,13:20:58,28.2,T1 KTemp C,28.1,T2 KTemp C,9999,T3 KTemp C,9999,T4 KTemp C
196,10/4/2021,13:20:59,28.2,T1 KTemp C,28.1,T2 KTemp C,9999,T3 KTemp C,9999,T4 KTemp C
197,10/4/2021,13:21:00,28.2,T1 KTemp C,28.1,T2 KTemp C,9999,T3 KTemp C,9999,T4 KTemp C
198,10/4/2021,13:21:01,28.2,T1 KTemp C,28.1,T2 KTemp C,9999,T3 KTemp C,9999,T4 KTemp C
199,10/4/2021,13:21:02,28.2,T1 KTemp C,28.1,T2 KTemp C,9999,T3 KTemp C,9999,T4 KTemp C
200,10/4/2021,13:21:03,28.2,T1 KTemp C,28.1,T2 KTemp C,9999,T3 KTemp C,9999,T4 KTemp C
201,10/4/2021,13:21:04,28.2,T1 KTemp C,28.1,T2 KTemp C,9999,T3 KTemp C,9999,T4 KTemp C
202,10/4/2021,13:21:05,28.2,T1 KTemp C,28.1,T2 KTemp C,9999,T3 KTemp C,9999,T4 KTemp C
203,10/4/2021,13:21:06,28.2,T1 KTemp C,28.1,T2 KTemp C,9999,T3 KTemp C,9999,T4 KTemp C
204,10/4/2021,13:21:07,28.2,T1 KTemp C,28.1,T2 KTemp C,9999,T3 KTemp C,9999,T4 KTemp C
205,10/4/2021,13:21:08,28.2,T1 KTemp C,28.1,T2 KTemp C,9999,T3 KTemp C,9999,T4 KTemp C
206,10/4/2021,13:21:09,28.2,T1 KTemp C,28.1,T2 KTemp C,9999,T3 KTemp C,9999,T4 KTemp C
207,10/4/2021,13:21:10,28.2,T1 KTemp C,28.1,T2 KTemp C,9999,T3 KTemp C,9999,T4 KTemp C
208,10/4/2021,13:21:11,28.2,T1 KTemp C,28.1,T2 KTemp C,9999,T3 KTemp C,9999,T4 KTemp C
209,10/4/2021,13:21:12,28.2,T1 KTemp C,28.1,T2 KTemp C,9999,T3 KTemp C,9999,T4 KTemp C
210,10/4/2021,13:21:13,28.2,T1 KTemp C,28.1,T2 KTemp C,9999,T3 KTemp C,9999,T4 KTemp C
211,10/4/2021,13:21:14,28.2,T1 KTemp C,28.1,T2 KTemp C,9999,T3 KTemp C,9999,T4 KTemp C
212,10/4/2021,13:21:15,28.2,T1 KTemp C,28.1,T2 KTemp C,9999,T3 KTemp C,9999,T4 KTemp C
213,10/4/2021,13:21:16,28.2,T1 KTemp C,28.1,T2 KTemp C,9999,T3 KTemp C,9999,T4 KTemp C
